[2025-12-24 12:16:48.732] [ INFO] [main]  Application starting...
[2025-12-24 12:16:48.733] [ INFO] [main] Loading configuration...
[2025-12-24 12:16:48.733] [ INFO] [main] User authentication request from IP: 192.168.1.100
[2025-12-24 12:16:48.733] [ INFO] [main]  User authenticated successfully
[2025-12-24 12:16:48.733] [ INFO] [main] Executing database query...
[2025-12-24 12:16:48.733] [ INFO] [main] Query returned 150 results
[2025-12-24 12:16:48.734] [ WARN] [main]  High memory usage detected: 85%
[2025-12-24 12:16:48.734] [ WARN] [main] Cache size approaching limit: 950/1000
[2025-12-24 12:16:48.734] [ ERROR] [main] Failed to process user request
java.lang.IllegalStateException: Database connection pool exhausted
	at com.designpattern.singleton.realworld.Logger.demonstrateWebApplicationUsage(Logger.java:381)
	at com.designpattern.singleton.realworld.Logger.main(Logger.java:487)

[2025-12-24 12:16:48.735] [ INFO] [main] Request completed in 245ms
[2025-12-24 12:16:49.754] [ INFO] [EmailService] EmailService processing request #1
[2025-12-24 12:16:49.754] [ INFO] [OrderService] OrderService processing request #1
[2025-12-24 12:16:49.755] [ INFO] [PaymentService] PaymentService processing request #1
[2025-12-24 12:16:49.755] [ INFO] [NotificationService] NotificationService processing request #1
[2025-12-24 12:16:49.755] [ INFO] [UserService] UserService processing request #1
[2025-12-24 12:16:49.805] [ INFO] [EmailService] EmailService processing request #2
[2025-12-24 12:16:49.807] [ INFO] [OrderService] OrderService processing request #2
[2025-12-24 12:16:49.817] [ INFO] [UserService] UserService processing request #2
[2025-12-24 12:16:49.817] [ INFO] [PaymentService] PaymentService processing request #2
[2025-12-24 12:16:49.817] [ INFO] [NotificationService] NotificationService processing request #2
[2025-12-24 12:16:49.856] [ INFO] [EmailService] EmailService processing request #3
[2025-12-24 12:16:49.865] [ INFO] [OrderService] OrderService processing request #3
[2025-12-24 12:16:49.868] [ INFO] [UserService] UserService processing request #3
[2025-12-24 12:16:49.868] [ INFO] [PaymentService] PaymentService processing request #3
[2025-12-24 12:16:49.881] [ INFO] [NotificationService] NotificationService processing request #3
[2025-12-24 12:16:49.914] [ INFO] [EmailService] EmailService completed all requests
[2025-12-24 12:16:49.920] [ INFO] [UserService] UserService completed all requests
[2025-12-24 12:16:49.929] [ INFO] [PaymentService] PaymentService completed all requests
[2025-12-24 12:16:49.929] [ INFO] [OrderService] OrderService completed all requests
[2025-12-24 12:16:49.944] [ INFO] [NotificationService] NotificationService completed all requests
[2025-12-24 12:16:52.742] [ INFO] [main] This INFO message will be shown
[2025-12-24 12:16:52.742] [ WARN] [main] This WARN message will be shown
[2025-12-24 12:16:52.742] [ ERROR] [main] This ERROR message will be shown
[2025-12-24 12:16:52.742] [ DEBUG] [main] Now DEBUG messages are visible!
[2025-12-24 12:16:52.743] [ INFO] [main] INFO messages still visible
[2025-12-24 12:16:52.743] [ ERROR] [main] Only ERROR messages will be shown
[2025-12-24 12:16:53.764] [ INFO] [main] Performance test message #0
[2025-12-24 12:16:53.764] [ INFO] [main] Performance test message #1
[2025-12-24 12:16:53.764] [ INFO] [main] Performance test message #2
[2025-12-24 12:16:53.765] [ INFO] [main] Performance test message #3
[2025-12-24 12:16:53.765] [ INFO] [main] Performance test message #4
[2025-12-24 12:16:53.765] [ INFO] [main] Performance test message #5
[2025-12-24 12:16:53.765] [ INFO] [main] Performance test message #6
[2025-12-24 12:16:53.765] [ INFO] [main] Performance test message #7
[2025-12-24 12:16:53.766] [ INFO] [main] Performance test message #8
[2025-12-24 12:16:53.766] [ INFO] [main] Performance test message #9
[2025-12-24 12:16:53.766] [ INFO] [main] Performance test message #10
[2025-12-24 12:16:53.767] [ INFO] [main] Performance test message #11
[2025-12-24 12:16:53.767] [ INFO] [main] Performance test message #12
[2025-12-24 12:16:53.768] [ INFO] [main] Performance test message #13
[2025-12-24 12:16:53.768] [ INFO] [main] Performance test message #14
[2025-12-24 12:16:53.768] [ INFO] [main] Performance test message #15
[2025-12-24 12:16:53.769] [ INFO] [main] Performance test message #16
[2025-12-24 12:16:53.770] [ INFO] [main] Performance test message #17
[2025-12-24 12:16:53.770] [ INFO] [main] Performance test message #18
[2025-12-24 12:16:53.770] [ INFO] [main] Performance test message #19
[2025-12-24 12:16:53.770] [ INFO] [main] Performance test message #20
[2025-12-24 12:16:53.771] [ INFO] [main] Performance test message #21
[2025-12-24 12:16:53.771] [ INFO] [main] Performance test message #22
[2025-12-24 12:16:53.771] [ INFO] [main] Performance test message #23
[2025-12-24 12:16:53.771] [ INFO] [main] Performance test message #24
[2025-12-24 12:16:53.772] [ INFO] [main] Performance test message #25
[2025-12-24 12:16:53.772] [ INFO] [main] Performance test message #26
[2025-12-24 12:16:53.772] [ INFO] [main] Performance test message #27
[2025-12-24 12:16:53.773] [ INFO] [main] Performance test message #28
[2025-12-24 12:16:53.773] [ INFO] [main] Performance test message #29
[2025-12-24 12:16:53.773] [ INFO] [main] Performance test message #30
[2025-12-24 12:16:53.773] [ INFO] [main] Performance test message #31
[2025-12-24 12:16:53.773] [ INFO] [main] Performance test message #32
[2025-12-24 12:16:53.774] [ INFO] [main] Performance test message #33
[2025-12-24 12:16:53.774] [ INFO] [main] Performance test message #34
[2025-12-24 12:16:53.774] [ INFO] [main] Performance test message #35
[2025-12-24 12:16:53.774] [ INFO] [main] Performance test message #36
[2025-12-24 12:16:53.775] [ INFO] [main] Performance test message #37
[2025-12-24 12:16:53.776] [ INFO] [main] Performance test message #38
[2025-12-24 12:16:53.776] [ INFO] [main] Performance test message #39
[2025-12-24 12:16:53.776] [ INFO] [main] Performance test message #40
[2025-12-24 12:16:53.776] [ INFO] [main] Performance test message #41
[2025-12-24 12:16:53.777] [ INFO] [main] Performance test message #42
[2025-12-24 12:16:53.777] [ INFO] [main] Performance test message #43
[2025-12-24 12:16:53.778] [ INFO] [main] Performance test message #44
[2025-12-24 12:16:53.778] [ INFO] [main] Performance test message #45
